Disease,ID
Colorectal cancer,HMDB0004947
Ovarian cancer,HMDB0004949
Colorectal cancer,HMDB0004949
Colorectal cancer,HMDB0004950
Fabry disease,HMDB0004948
Colorectal cancer,HMDB0004948
Colorectal cancer,HMDB0004951
Colorectal cancer,HMDB0004952
Colorectal cancer,HMDB0004956
Colorectal cancer,HMDB0004953
Colorectal cancer,HMDB0004957
Colorectal cancer,HMDB0004955
Colorectal cancer,HMDB0000637
Biliary atresia,HMDB0000637
Colorectal cancer,HMDB0000921
Gallbladder disease,HMDB0000067
Cholelithiasis,HMDB0000067
Stomach cancer,HMDB0000067
Acute myelogenous leukemia,HMDB0000067
Hypercholesterolemia,HMDB0000067
Cholesteryl ester storage disease,HMDB0000067
Cystinosis,HMDB0000067
Smith-Lemli-Opitz syndrome,HMDB0000067
Prostate cancer,HMDB0000067
Schizophrenia,HMDB0000067
Primary hypomagnesemia,HMDB0000067
Hyperlipoproteinemia,HMDB0000067
Abetalipoproteinemia,HMDB0000067
Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis,HMDB0000067
Cerebrotendinous xanthomatosis,HMDB0000067
3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency,HMDB0000067
"Hypercholesterolemia, familial",HMDB0000067
SC4MOL deficiency,HMDB0000067
"Chondrodysplasia punctata, X-linked dominant",HMDB0000067
Desmosterolosis,HMDB0000067
Donohue Syndrome,HMDB0000067
Leptin Deficiency or Dysfunction,HMDB0000067
Duchenne Muscular Dystrophy,HMDB0000067
Lecithin:cholesterol Acyltransferase Deficiency,HMDB0000067
Lipodystrophy,HMDB0000067
"Lipodystrophy, Congenital Generalized",HMDB0000067
Oculocerebrorenal syndrome,HMDB0000067
Familial partial lipodystrophy,HMDB0000067
Lathosterolosis,HMDB0000067
Partial lipodystrophy,HMDB0000067
Multiple sclerosis,HMDB0000067
Inflammatory bowel disease,HMDB0000067
Colorectal cancer,HMDB0000067
Cystic fibrosis,HMDB0000619
Biliary atresia,HMDB0000619
Colorectal cancer,HMDB0000619
Crohn's disease,HMDB0000619
Ulcerative colitis,HMDB0000619
Cirrhosis,HMDB0000619
Primary biliary cirrhosis,HMDB0000619
Eosinophilic esophagitis,HMDB0000619
Early preeclampsia,HMDB0000097
Pregnancy,HMDB0000097
Spina Bifida,HMDB0000097
Multi-infarct dementia,HMDB0000097
Alzheimer's disease,HMDB0000097
Irritable bowel syndrome,HMDB0000097
Ulcerative colitis,HMDB0000097
Crohn's disease,HMDB0000097
Diverticular disease,HMDB0000097
Rheumatoid arthritis,HMDB0000097
Colorectal cancer,HMDB0000097
Perillyl alcohol administration for cancer treatment,HMDB0000097
Pancreatic cancer,HMDB0000097
Periodontal disease,HMDB0000097
Frontotemporal dementia,HMDB0000097
Lewy body disease,HMDB0000097
Lung Cancer,HMDB0000097
Eosinophilic esophagitis,HMDB0000097
Colorectal cancer,HMDB0030667
Colorectal cancer,HMDB0011747
Colorectal cancer,HMDB0000634
Colorectal cancer,HMDB0000426
Hyperoxalemia,HMDB0000094
Pancreatic cancer,HMDB0000094
Schizophrenia,HMDB0000094
Early preeclampsia,HMDB0000094
Pregnancy,HMDB0000094
Late-onset preeclampsia,HMDB0000094
Canavan disease,HMDB0000094
2-Ketoglutarate dehydrogenase complex deficiency,HMDB0000094
Irritable bowel syndrome,HMDB0000094
Crohn's disease,HMDB0000094
Ulcerative colitis,HMDB0000094
Alzheimer's disease,HMDB0000094
Frontotemporal dementia,HMDB0000094
Lewy body disease,HMDB0000094
Paraquat poisoning,HMDB0000094
Lung Cancer,HMDB0000094
Rhabdomyolysis,HMDB0000094
Diabetes mellitus type 1,HMDB0000094
Argininosuccinic aciduria,HMDB0000094
Propionic acidemia,HMDB0000094
Tyrosinemia I,HMDB0000094
Phenylketonuria,HMDB0000094
Maple syrup urine disease,HMDB0000094
Eosinophilic esophagitis,HMDB0000094
Colorectal cancer,HMDB0000094
Primary hypomagnesemia,HMDB0000094
Amish lethal microcephaly,HMDB0000094
"Deafness, Onychodystrophy, Osteodystrophy, Mental Retardation, and Seizures Syndrome",HMDB0000094
Colorectal cancer,HMDB0032208
Intestinal failure,HMDB0000904
Epilepsy,HMDB0000904
Alzheimer's disease,HMDB0000904
Argininosuccinic aciduria,HMDB0000904
Fumarase deficiency,HMDB0000904
N-acetylglutamate synthetase deficiency,HMDB0000904
Citrullinemia type I,HMDB0000904
"Citrullinemia type II, adult-onset",HMDB0000904
Pearson Syndrome,HMDB0000904
"Citrullinemia type II, neonatal-onset",HMDB0000904
"Cutis laxa, autosomal recessive, type IIIA",HMDB0000904
"Myopathy, lactic acidosis, and sideroblastic anemia 1",HMDB0000904
"Phosphoenolpyruvate Carboxykinase Deficiency 1, Cytosolic",HMDB0000904
Schizophrenia,HMDB0000904
Colorectal cancer,HMDB0000904
Crohn's disease,HMDB0000904
Ulcerative colitis,HMDB0000904
Gout,HMDB0000904
Rheumatoid arthritis,HMDB0000904
Perillyl alcohol administration for cancer treatment,HMDB0000904
Pancreatic cancer,HMDB0000904
Periodontal disease,HMDB0000904
Frontotemporal dementia,HMDB0000904
Lewy body disease,HMDB0000904
Attachment loss,HMDB0000904
Missing teeth,HMDB0000904
Periodontal Probing Depth,HMDB0000904
Tooth Decay,HMDB0000904
Eosinophilic esophagitis,HMDB0000904
Depersonalization disorder,HMDB0002802
Ovarian cancer,HMDB0002802
Tooth Decay,HMDB0002802
Rheumatoid arthritis,HMDB0002802
Cirrhosis,HMDB0000064
Pancreatic cancer,HMDB0000064
Colorectal cancer,HMDB0000064
Schizophrenia,HMDB0000064
Early preeclampsia,HMDB0000064
Pregnancy,HMDB0000064
Late-onset preeclampsia,HMDB0000064
Hypermethioninemia,HMDB0000064
Cerebral creatine deficiency syndrome 3,HMDB0000064
Uremia,HMDB0000064
Irritable bowel syndrome,HMDB0000064
Crohn's disease,HMDB0000064
Ulcerative colitis,HMDB0000064
Alzheimer's disease,HMDB0000064
Frontotemporal dementia,HMDB0000064
Lewy body disease,HMDB0000064
Attachment loss,HMDB0000064
Missing teeth,HMDB0000064
Periodontal Probing Depth,HMDB0000064
Cystic fibrosis,HMDB0000064
Lung Cancer,HMDB0000064
Rhabdomyolysis,HMDB0000064
Eosinophilic esophagitis,HMDB0000064
Cerebral creatine deficiency syndrome 1,HMDB0000064
Hyperoxalemia,HMDB0000562
Canavan disease,HMDB0000562
Isovaleric acidemia,HMDB0000562
Chronic renal failure,HMDB0000562
Pancreatic cancer,HMDB0000562
Stomach cancer,HMDB0000562
Early preeclampsia,HMDB0000562
Pregnancy,HMDB0000562
Late-onset preeclampsia,HMDB0000562
Primary hypomagnesemia,HMDB0000562
Lesch-Nyhan syndrome,HMDB0000562
21-Hydroxylase deficiency,HMDB0000562
"Bartter Syndrome, Type 4A, Neonatal, with Sensorineural Deafness",HMDB0000562
"Bartter Syndrome, Type 2, Antenatal",HMDB0000562
"Pseudohypoaldosteronism, type I, autosomal dominant",HMDB0000562
"Bartter Syndrome, Type 4B, Neonatal, With Sensorineural Deafness",HMDB0000562
Brown-Vialetto-Van Laere Syndrome 1,HMDB0000562
Familial partial lipodystrophy,HMDB0000562
"Lipodystrophy, Congenital Generalized",HMDB0000562
Partial lipodystrophy,HMDB0000562
Phosphoribosylpyrophosphate Synthetase Superactivity,HMDB0000562
Cerebral creatine deficiency syndrome 2,HMDB0000562
Hypoparathyroidism-retardation-dysmorphism syndrome,HMDB0000562
"Long-chain Fatty Acids, Defect in Transport of",HMDB0000562
Uremia,HMDB0000562
Sepsis,HMDB0000562
Crohn's disease,HMDB0000562
Ulcerative colitis,HMDB0000562
Alzheimer's disease,HMDB0000562
Frontotemporal dementia,HMDB0000562
Lewy body disease,HMDB0000562
Cystic fibrosis,HMDB0000562
Paraquat poisoning,HMDB0000562
Propionic acidemia,HMDB0000562
Tyrosinemia I,HMDB0000562
Phenylketonuria,HMDB0000562
Maple syrup urine disease,HMDB0000562
Colorectal cancer,HMDB0000562
Schizophrenia,HMDB0000562
3-Methyl-crotonyl-glycinuria,HMDB0000562
Dimethylglycine Dehydrogenase Deficiency,HMDB0000562
Colorectal cancer,HMDB0030180
Colorectal cancer,HMDB0002269
Colorectal cancer,HMDB0094673
Canavan disease,HMDB0000089
Uremia,HMDB0000089
Colorectal cancer,HMDB0000089
Crohn's disease,HMDB0000089
Ulcerative colitis,HMDB0000089
Alzheimer's disease,HMDB0000089
Frontotemporal dementia,HMDB0000089
Lewy body disease,HMDB0000089
Attachment loss,HMDB0000089
Missing teeth,HMDB0000089
Periodontal Probing Depth,HMDB0000089
Colorectal cancer,HMDB0000095
Alzheimer's disease,HMDB0000095
Frontotemporal dementia,HMDB0000095
Lewy body disease,HMDB0000095
Crohn's disease,HMDB0000630
Ulcerative colitis,HMDB0000630
Colorectal cancer,HMDB0000630
Prostate cancer,HMDB0003459
Colorectal cancer,HMDB0029942
Ribose-5-phosphate isomerase deficiency,HMDB0000568
Invasive candidiasis,HMDB0000568
Colorectal cancer,HMDB0000568
Eosinophilic esophagitis,HMDB0000568
Schizophrenia,HMDB0006483
Irritable bowel syndrome,HMDB0006483
Crohn's disease,HMDB0006483
Colorectal cancer,HMDB0006483
Autism,HMDB0006483
Colorectal cancer,HMDB0000660
Diabetes mellitus type 2,HMDB0000660
Eosinophilic esophagitis,HMDB0000660
Galactose-1-phosphate uridyltransferase deficiency,HMDB0000143
Galactosemia type 1,HMDB0000143
Patent Ductus Venosus,HMDB0000143
Galactosemia,HMDB0000143
Colorectal cancer,HMDB0000143
Eosinophilic esophagitis,HMDB0000143
Growth hormone deficiency,HMDB0000122
Acute myelogenous leukemia,HMDB0000122
Hyperlipoproteinemia,HMDB0000122
3-Methyl-crotonyl-glycinuria,HMDB0000122
Addison's Disease,HMDB0000122
Early preeclampsia,HMDB0000122
Pregnancy,HMDB0000122
Late-onset preeclampsia,HMDB0000122
Glucagon deficiency,HMDB0000122
Primary hypomagnesemia,HMDB0000122
3-Hydroxy-3-methylglutaryl-CoA lyase deficiency,HMDB0000122
3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency,HMDB0000122
Short/branched chain acyl-CoA dehydrogenase deficiency,HMDB0000122
21-Hydroxylase deficiency,HMDB0000122
3-Hydroxyacyl-CoA dehydrogenase deficiency,HMDB0000122
Short-chain L-3-hydroxyacyl-CoA dehydrogenase deficiency,HMDB0000122
2-Methyl-3-hydroxybutyryl-CoA dehydrogenase deficiency,HMDB0000122
"Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete",HMDB0000122
"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",HMDB0000122
Lipodystrophy,HMDB0000122
"Lipodystrophy, Congenital Generalized",HMDB0000122
"Long-chain Fatty Acids, Defect in Transport of",HMDB0000122
Infantile Liver Failure Syndrome 2,HMDB0000122
Partial lipodystrophy,HMDB0000122
"Phosphoenolpyruvate Carboxykinase Deficiency 1, Cytosolic",HMDB0000122
"Fructose-1,6-diphosphatase deficiency",HMDB0000122
"Hypoglycemia, familial neonatal",HMDB0000122
"Leigh's syndrome, subacute necrotizing encephalopathy, SNE",HMDB0000122
"Metabolic encephalomyopathic crises, recurrent, with rhabdomyolysis, cardiac arrhythmias, and neurodegeneration",HMDB0000122
Donohue Syndrome,HMDB0000122
Leptin Deficiency or Dysfunction,HMDB0000122
Proprotein Convertase 1/3 Deficiency,HMDB0000122
"Maturity onset diabetes of the young, type 2",HMDB0000122
"Hyperinsulinemic hypoglycemia, familial, 1, HHF1",HMDB0000122
Mitochondrial trifunctional protein deficiency,HMDB0000122
Carnitine palmitoyltransferase I deficiency,HMDB0000122
Carnitine transporter defect; primary systemic carnitine deficiency,HMDB0000122
"Diabetes and Deafness, Maternally Inherited",HMDB0000122
Beckwith-Wiedemann Syndrome,HMDB0000122
Familial partial lipodystrophy,HMDB0000122
Fanconi Bickel syndrome,HMDB0000122
Wolcott-Rallison syndrome,HMDB0000122
Sepsis,HMDB0000122
Alzheimer's disease,HMDB0000122
Glucose transporter type 1 deficiency syndrome,HMDB0000122
Irritable bowel syndrome,HMDB0000122
Ulcerative colitis,HMDB0000122
Colorectal cancer,HMDB0000122
Diverticular disease,HMDB0000122
Gout,HMDB0000122
Rheumatoid arthritis,HMDB0000122
Diabetes mellitus type 2,HMDB0000122
Diabetes mellitus type 1,HMDB0000122
Eosinophilic esophagitis,HMDB0000122
Schizophrenia,HMDB0000122
Schizophrenia,HMDB0003339
Pregnancy,HMDB0003339
Gamma-glutamyltransferase deficiency,HMDB0003339
Crohn's disease,HMDB0003339
Ulcerative colitis,HMDB0003339
Colorectal cancer,HMDB0003339
Irritable bowel syndrome,HMDB0003339
Alzheimer's disease,HMDB0003339
Frontotemporal dementia,HMDB0003339
Lewy body disease,HMDB0003339
Autosomal  dominant polycystic kidney disease,HMDB0003339
Colorectal cancer,HMDB0031518
Peritoneal dialysis,HMDB0000163
Colorectal cancer,HMDB0000163
Eosinophilic esophagitis,HMDB0000163
Colorectal cancer,HMDB0000169
Eosinophilic esophagitis,HMDB0000169
Short bowel syndrome,HMDB0003374
Colorectal cancer,HMDB0003374
Colorectal cancer,HMDB0000563
Colorectal cancer,HMDB0034219
Colorectal cancer,HMDB0000283
Ribose-5-phosphate isomerase deficiency,HMDB0000283
Eosinophilic esophagitis,HMDB0000283
Colorectal cancer,HMDB0000621
Uremia,HMDB0004136
Colorectal cancer,HMDB0004136
Ribose-5-phosphate isomerase deficiency,HMDB0004136
Sepsis,HMDB0013609
Colorectal cancer,HMDB0013609
Cirrhosis,HMDB0004161
Hepatocellular carcinoma,HMDB0004161
Colorectal cancer,HMDB0004161
Crohn's disease,HMDB0004161
Ulcerative colitis,HMDB0004161
Ribose-5-phosphate isomerase deficiency,HMDB0002917
Colorectal cancer,HMDB0002917
Hepatocellular carcinoma,HMDB0002917
Small intestinal malabsorption,HMDB0000098
Kidney disease,HMDB0000098
Small bowel bacterial overgrowth syndrome,HMDB0000098
Crohn's disease,HMDB0000098
AIDS,HMDB0000098
Colorectal cancer,HMDB0000098
Lung Cancer,HMDB0000098
Eosinophilic esophagitis,HMDB0000098
Colorectal cancer,HMDB0001644
Ribose-5-phosphate isomerase deficiency,HMDB0001644
Pentosuria,HMDB0001644
Colorectal cancer,HMDB0000650
Perillyl alcohol administration for cancer treatment,HMDB0000650
Pancreatic cancer,HMDB0000650
Periodontal disease,HMDB0000650
Colorectal cancer,HMDB0000991
Pancreatic cancer,HMDB0060475
Colorectal cancer,HMDB0003312
Ileostomy,HMDB0003312
Celiac disease,HMDB0000651
Very Long Chain Acyl-CoA Dehydrogenase Deficiency,HMDB0000651
Pregnancy,HMDB0000651
Glutaric aciduria II,HMDB0000651
Obesity,HMDB0000651
Crohn's disease,HMDB0000651
Ulcerative colitis,HMDB0000651
Colorectal cancer,HMDB0000651
Eosinophilic esophagitis,HMDB0000651
Polycystic ovary syndrome,HMDB0001032
Hirsutism,HMDB0001032
Alzheimer's disease,HMDB0001032
Lung Cancer,HMDB0001032
Schizophrenia,HMDB0001032
"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",HMDB0001032
11-beta-Hydroxylase deficiency,HMDB0001032
Aromatase deficiency,HMDB0001032
"Congenital Adrenal Hyperplasia, due to 17-Hydroxylase-Deficiency",HMDB0001032
X-linked ichthyosis,HMDB0001032
Lipoid Congenital Adrenal Hyperplasia,HMDB0001032
Colorectal cancer,HMDB0001032
Rheumatoid arthritis,HMDB0001032
Colorectal cancer,HMDB0000101
Adenosine deaminase deficiency,HMDB0000101
Eosinophilic esophagitis,HMDB0000101
Adenylosuccinate lyase deficiency,HMDB0000101
Cystic fibrosis,HMDB0000626
Irritable bowel syndrome,HMDB0000626
Ulcerative colitis,HMDB0000626
Colorectal cancer,HMDB0000626
Primary biliary cirrhosis,HMDB0000626
Hepatocellular carcinoma,HMDB0000631
Cirrhosis,HMDB0000631
Colorectal cancer,HMDB0000631
Crohn's disease,HMDB0000014
Ulcerative colitis,HMDB0000014
Colorectal cancer,HMDB0000014
Colorectal cancer,HMDB0000085
Purine nucleoside phosphorylase deficiency,HMDB0000085
Colorectal cancer,HMDB0000071
Attachment loss,HMDB0000071
Periodontal Probing Depth,HMDB0000071
Purine nucleoside phosphorylase deficiency,HMDB0000071
Eosinophilic esophagitis,HMDB0000071
Colorectal cancer,HMDB0003224
Thymidine phosphorylase deficiency,HMDB0000012
Colorectal cancer,HMDB0000012
Crohn's disease,HMDB0000012
Ulcerative colitis,HMDB0000012
Eosinophilic esophagitis,HMDB0000012
Prostate cancer,HMDB0001191
Irritable bowel syndrome,HMDB0002199
Ulcerative colitis,HMDB0002199
Colorectal cancer,HMDB0002199
Attachment loss,HMDB0002199
Missing teeth,HMDB0002199
Periodontal Probing Depth,HMDB0002199
Supragingival Plaque,HMDB0002199
Colorectal cancer,HMDB0001370
Isovaleric acidemia,HMDB0002925
Colorectal cancer,HMDB0002925
Attachment loss,HMDB0002925
Periodontal Probing Depth,HMDB0002925
Colorectal cancer,HMDB0061864
Kidney disease,HMDB0000038
Colorectal cancer,HMDB0000038
Colorectal cancer,HMDB0062121
Colorectal cancer,HMDB0000076
Dihydropyrimidine dehydrogenase deficiency,HMDB0000076
Hypertension,HMDB0000076
Cerebral infarction,HMDB0000076
Liver disease,HMDB0000076
Colorectal cancer,HMDB0001882
Autosomal  dominant polycystic kidney disease,HMDB0001882
Colorectal cancer,HMDB0014487
Kidney disease,HMDB0000087
Uremia,HMDB0000087
Early preeclampsia,HMDB0000087
Pregnancy,HMDB0000087
Late-onset preeclampsia,HMDB0000087
Pancreatic cancer,HMDB0000087
Diabetes mellitus type 2,HMDB0000087
Rhabdomyolysis,HMDB0000087
Diabetes mellitus type 1,HMDB0000087
Autosomal  dominant polycystic kidney disease,HMDB0000087
Bladder infections,HMDB0000087
Eosinophilic esophagitis,HMDB0000087
Duchenne Muscular Dystrophy,HMDB0000087
Prostate cancer,HMDB0003701
Kidney disease,HMDB0000092
Uremia,HMDB0000092
Colorectal cancer,HMDB0000092
Crohn's disease,HMDB0000092
Ulcerative colitis,HMDB0000092
Eosinophilic esophagitis,HMDB0000092
Dimethylglycine Dehydrogenase Deficiency,HMDB0000092
Colorectal cancer,HMDB0061714
Hypertension,HMDB0002183
Essential hypertension,HMDB0002183
Major depressive disorder,HMDB0002183
Rhizomelic chondrodysplasia punctata,HMDB0002183
Isovaleric acidemia,HMDB0002183
Stroke,HMDB0002183
Colorectal cancer,HMDB0002183
Thyroid cancer,HMDB0002183
Isovaleric acidemia,HMDB0006528
Colorectal cancer,HMDB0006528
Isovaleric acidemia,HMDB0001976
Colorectal cancer,HMDB0001976
Thyroid cancer,HMDB0001976
Colorectal cancer,HMDB0002823
Diabetes mellitus type 2,HMDB0000623
3-Hydroxydicarboxylic aciduria,HMDB0000623
Iron deficiency,HMDB0000623
Ulcerative colitis,HMDB0000623
Colorectal cancer,HMDB0000623
Metabolic syndrome,HMDB0000623
Medium Chain Acyl-CoA Dehydrogenase Deficiency,HMDB0000623
Carnitine-acylcarnitine translocase deficiency,HMDB0000623
Colorectal cancer,HMDB0000638
Metastatic melanoma,HMDB0000638
Cystic fibrosis,HMDB0000638
Isovaleric acidemia,HMDB0005060
Colorectal cancer,HMDB0005060
Hypertension,HMDB0001999
Essential hypertension,HMDB0001999
Major depressive disorder,HMDB0001999
Isovaleric acidemia,HMDB0001999
Colorectal cancer,HMDB0001999
Colorectal cancer,HMDB0000573
Colorectal cancer,HMDB0006101
Perillyl alcohol administration for cancer treatment,HMDB0006101
Colorectal cancer,HMDB0036657
Schizophrenia,HMDB0000365
Colorectal cancer,HMDB0000365
Colorectal cancer,HMDB0062657
Colorectal cancer,HMDB0000878
Colorectal cancer,HMDB0005810
Adrenomyeloneuropathy,HMDB0002068
Isovaleric acidemia,HMDB0002068
Colorectal cancer,HMDB0002068
Uremia,HMDB0002994
Ribose-5-phosphate isomerase deficiency,HMDB0002994
Colorectal cancer,HMDB0002994
Colorectal cancer,HMDB0000613
Kidney disease,HMDB0000108
Alcoholism,HMDB0000108
Early preeclampsia,HMDB0000108
Pregnancy,HMDB0000108
Late-onset preeclampsia,HMDB0000108
Cervical myelopathy,HMDB0000108
Ulcerative colitis,HMDB0000108
Irritable bowel syndrome,HMDB0000108
Nonalcoholic fatty liver disease,HMDB0000108
Autism,HMDB0000108
Pervasive developmental disorder not otherwise specified,HMDB0000108
Crohn's disease,HMDB0000108
Diverticular disease,HMDB0000108
Celiac disease,HMDB0000108
Lung Cancer,HMDB0000108
Autosomal  dominant polycystic kidney disease,HMDB0000108
Eosinophilic esophagitis,HMDB0000108
Irritable bowel syndrome,HMDB0000149
Ulcerative colitis,HMDB0000149
Colorectal cancer,HMDB0000149
Perillyl alcohol administration for cancer treatment,HMDB0000149
Pancreatic cancer,HMDB0000149
Periodontal disease,HMDB0000149
Autosomal  dominant polycystic kidney disease,HMDB0000149
Propionic acidemia,HMDB0000149
Maple syrup urine disease,HMDB0000149
Eosinophilic esophagitis,HMDB0000149
Ethanolaminuria,HMDB0000149
Colorectal cancer,HMDB0010325
Diabetes mellitus type 2,HMDB0010325
Anorexia nervosa,HMDB0001248
Colorectal cancer,HMDB0001248
Colorectal cancer,HMDB0000954
Eosinophilic esophagitis,HMDB0000954
Anorexia nervosa,HMDB0001520
Metastatic melanoma,HMDB0001520
Colorectal cancer,HMDB0001520
Methanol poisoning,HMDB0000142
Formic acid intoxication,HMDB0000142
Chronic pancreatitis,HMDB0000142
Early preeclampsia,HMDB0000142
Pregnancy,HMDB0000142
Late-onset preeclampsia,HMDB0000142
Irritable bowel syndrome,HMDB0000142
Diverticular disease,HMDB0000142
Rheumatoid arthritis,HMDB0000142
Methyl formate exposure,HMDB0000142
Lung Cancer,HMDB0000142
Diabetes mellitus type 1,HMDB0000142
Autosomal  dominant polycystic kidney disease,HMDB0000142
Eosinophilic esophagitis,HMDB0000142
Colorectal cancer,HMDB0000854
Glutamate formiminotransferase deficiency,HMDB0000854
Colorectal cancer,HMDB0030021
Colorectal cancer,HMDB0000134
Alzheimer's disease,HMDB0000134
Irritable bowel syndrome,HMDB0000134
Diverticular disease,HMDB0000134
Rheumatoid arthritis,HMDB0000134
Lung Cancer,HMDB0000134
Eosinophilic esophagitis,HMDB0000134
Fumarase deficiency,HMDB0000134
2-Ketoglutarate dehydrogenase complex deficiency,HMDB0000134
Amish lethal microcephaly,HMDB0000134
Lipoyltransferase 1 Deficiency,HMDB0000134
Colorectal cancer,HMDB0001933
Colorectal cancer,HMDB0005015
Colorectal cancer,HMDB0011739
Colorectal cancer,HMDB0002545
Colorectal cancer,HMDB0005807
Colorectal cancer,HMDB0003217
Ileostomy,HMDB0003217
Idiopathic oro-facial pain,HMDB0000152
Colorectal cancer,HMDB0000152
Schizophrenia,HMDB0000625
Colorectal cancer,HMDB0000625
Eosinophilic esophagitis,HMDB0000625
Prostate cancer,HMDB0000150
Colorectal cancer,HMDB0001514
Colorectal cancer,HMDB0001401
Alzheimer's disease,HMDB0001401
Frontotemporal dementia,HMDB0001401
Lewy body disease,HMDB0001401
Eosinophilic esophagitis,HMDB0001401
Colorectal cancer,HMDB0028795
Colorectal cancer,HMDB0028800
Colorectal cancer,HMDB0028822
Colorectal cancer,HMDB0028823
Dementia,HMDB0004207
Huntington's disease,HMDB0004207
Colorectal cancer,HMDB0004207
Colorectal cancer,HMDB0028830
Colorectal cancer,HMDB0028831
Colorectal cancer,HMDB0028832
Glutaric aciduria I,HMDB0000661
Glutaryl-CoA dehydrogenase deficiency (GDHD),HMDB0000661
Irritable bowel syndrome,HMDB0000661
Ulcerative colitis,HMDB0000661
Colorectal cancer,HMDB0000661
Anorexia nervosa,HMDB0000661
Eosinophilic esophagitis,HMDB0000661
Fumarase deficiency,HMDB0000661
Malonyl-Coa decarboxylase deficiency,HMDB0000661
3-Hydroxy-3-methylglutaryl-CoA lyase deficiency,HMDB0000661
Short Chain Acyl-Coa Dehydrogenase Deficiency,HMDB0000661
3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency,HMDB0000661
Glutaric aciduria type III,HMDB0000661
Schizophrenia,HMDB0000139
Irritable bowel syndrome,HMDB0000139
Colorectal cancer,HMDB0000139
Crohn's disease,HMDB0000139
Ulcerative colitis,HMDB0000139
Primary hyperoxaluria,HMDB0000139
Primary hyperoxaluria II,HMDB0000139
D-Glyceric acidura,HMDB0000139
Eosinophilic esophagitis,HMDB0000139
D-Glyceric acidemia,HMDB0000139
Glycerol kinase deficiency,HMDB0000131
Diabetes mellitus type 2,HMDB0000131
Schizophrenia,HMDB0000131
Early preeclampsia,HMDB0000131
Pregnancy,HMDB0000131
Late-onset preeclampsia,HMDB0000131
Crohn's disease,HMDB0000131
Ulcerative colitis,HMDB0000131
Irritable bowel syndrome,HMDB0000131
Colorectal cancer,HMDB0000131
Eosinophilic esophagitis,HMDB0000131
Colorectal cancer,HMDB0000126
Alzheimer's disease,HMDB0000126
Frontotemporal dementia,HMDB0000126
Lewy body disease,HMDB0000126
Kidney cancer,HMDB0000086
Multi-infarct dementia,HMDB0000086
Alzheimer's disease,HMDB0000086
Perillyl alcohol administration for cancer treatment,HMDB0000086
Pancreatic cancer,HMDB0000086
Periodontal disease,HMDB0000086
Attachment loss,HMDB0000086
Missing teeth,HMDB0000086
Periodontal Probing Depth,HMDB0000086
Prosthesis/Missing teeth,HMDB0000086
D-Glyceric acidemia,HMDB0000123
Refractory localization-related epilepsy,HMDB0000123
Juvenile myoclonic epilepsy,HMDB0000123
Alzheimer's disease,HMDB0000123
D-Glyceric acidura,HMDB0000123
Early preeclampsia,HMDB0000123
Pregnancy,HMDB0000123
Late-onset preeclampsia,HMDB0000123
3-Methyl-crotonyl-glycinuria,HMDB0000123
Sarcosinemia,HMDB0000123
N-acetylglutamate synthetase deficiency,HMDB0000123
Histidinemia,HMDB0000123
Obesity,HMDB0000123
Neu-Laxova Syndrome 1,HMDB0000123
"Hyperglycinemia, lactic acidosis, and seizures",HMDB0000123
Pyridoxamine 5-prime-phosphate oxidase deficiency,HMDB0000123
Lipoyltransferase 1 Deficiency,HMDB0000123
Phosphoserine Aminotransferase Deficiency,HMDB0000123
Phosphoserine Phosphatase Deficiency,HMDB0000123
Leukemia,HMDB0000123
Schizophrenia,HMDB0000123
Nonketotic Hyperglycinemia,HMDB0000123
3-Phosphoglycerate dehydrogenase deficiency,HMDB0000123
"Epilepsy, early-onset, vitamin B6-dependent",HMDB0000123
Irritable bowel syndrome,HMDB0000123
Ulcerative colitis,HMDB0000123
Colorectal cancer,HMDB0000123
Autism,HMDB0000123
Crohn's disease,HMDB0000123
Diverticular disease,HMDB0000123
Gout,HMDB0000123
Perillyl alcohol administration for cancer treatment,HMDB0000123
Pancreatic cancer,HMDB0000123
Periodontal disease,HMDB0000123
Frontotemporal dementia,HMDB0000123
Lewy body disease,HMDB0000123
Lung Cancer,HMDB0000123
Carbamoyl Phosphate Synthetase Deficiency,HMDB0000123
Iminoglycinuria,HMDB0000123
Autosomal  dominant polycystic kidney disease,HMDB0000123
Argininosuccinic aciduria,HMDB0000123
Propionic acidemia,HMDB0000123
Tyrosinemia I,HMDB0000123
Phenylketonuria,HMDB0000123
Maple syrup urine disease,HMDB0000123
Eosinophilic esophagitis,HMDB0000123
Glucoglycinuria,HMDB0000123
Colorectal cancer,HMDB0005781
Ileostomy,HMDB0005781
Hepatobiliary diseases,HMDB0000138
Celiac disease,HMDB0000138
Biliary atresia,HMDB0000138
Choledochal cysts,HMDB0000138
Intrahepatic biliary hypoplasia,HMDB0000138
Neonatal hepatitis,HMDB0000138
Alpha-1-antitrypsin deficiency,HMDB0000138
Cystic fibrosis,HMDB0000138
