Condition,ID,Metabolite
"citrullinemia type ii, neonatal-onset",HMDB0000517,L-Arginine
"citrullinemia type ii, neonatal-onset",HMDB0000696,L-Methionine
"citrullinemia type ii, neonatal-onset",HMDB0000904,Citrulline
classicle refsum's disease,HMDB0000801,Phytanic acid
clostridium difficile infection,HMDB0000036,Taurocholic acid
clostridium difficile infection,HMDB0000039,Butyric acid
clostridium difficile infection,HMDB0000042,Acetic acid
clostridium difficile infection,HMDB0000067,Cholesterol
clostridium difficile infection,HMDB0000108,Ethanol
clostridium difficile infection,HMDB0000138,Glycocholic acid
clostridium difficile infection,HMDB0000228,Phenol
clostridium difficile infection,HMDB0000466,3-Methylindole
clostridium difficile infection,HMDB0000535,Caproic acid
clostridium difficile infection,HMDB0000577,5beta-Coprostanol
clostridium difficile infection,HMDB0000619,Cholic acid
clostridium difficile infection,HMDB0000626,Deoxycholic acid
clostridium difficile infection,HMDB0000637,Chenodeoxycholic acid glycine conjugate
clostridium difficile infection,HMDB0000689,Isocaproic acid
clostridium difficile infection,HMDB0000718,Isovaleric acid
clostridium difficile infection,HMDB0000761,Lithocholic acid
clostridium difficile infection,HMDB0000951,Taurochenodesoxycholic acid
clostridium difficile infection,HMDB0001659,Acetone
clostridium difficile infection,HMDB0001858,p-Cresol
clostridium difficile infection,HMDB0001870,Benzoic acid
clostridium difficile infection,HMDB0001873,Isobutyric acid
clostridium difficile infection,HMDB0011749,2-Piperidinone
clostridium difficile infection,HMDB0031230,2-Ethylhexanoic acid
clostridium difficile infection,HMDB0061883,Caproate (6:0)
cobalamin a disease,HMDB0012141,"(R)-2,3-Dihydroxy-isovalerate"
cobalamin c disease,HMDB0012141,"(R)-2,3-Dihydroxy-isovalerate"
cobalamin f disease (cblf),HMDB0000696,L-Methionine
coenzyme q10 deficiency,HMDB0000190,L-Lactic acid
"coenzyme q10 deficiency, primary, 1",HMDB0000190,L-Lactic acid
"coenzyme q10 deficiency, primary, 5",HMDB0000161,L-Alanine
"coenzyme q10 deficiency, primary, 5",HMDB0000190,L-Lactic acid
colon cancer,HMDB0003331,1-Methyladenosine
colorectal adenoma,HMDB0000008,2-Hydroxybutyric acid
colorectal adenoma,HMDB0000017,4-Pyridoxic acid
colorectal adenoma,HMDB0000064,Creatine
colorectal adenoma,HMDB0000182,L-Lysine
colorectal adenoma,HMDB0000201,L-Acetylcarnitine
colorectal adenoma,HMDB0000210,Pantothenic acid
colorectal adenoma,HMDB0000244,Riboflavin
colorectal adenoma,HMDB0000439,2-Furoylglycine
colorectal adenoma,HMDB0000714,Hippuric acid
colorectal adenoma,HMDB0000866,N-Acetyl-L-tyrosine
colorectal adenoma,HMDB0000875,Trigonelline
colorectal adenoma,HMDB0001488,Nicotinic acid
colorectal adenoma,HMDB0001847,Caffeine
colorectal adenoma,HMDB0001857,"1,3-Dimethyluric acid"
colorectal adenoma,HMDB0001860,Paraxanthine
colorectal adenoma,HMDB0001889,Theophylline
colorectal adenoma,HMDB0001893,alpha-Tocopherol
colorectal adenoma,HMDB0002123,"1,3,7-Trimethyluric acid"
colorectal adenoma,HMDB0002183,Docosahexaenoic acid
colorectal adenoma,HMDB0002917,D-Xylitol
colorectal adenoma,HMDB0003072,Quinic acid
colorectal adenoma,HMDB0003099,1-Methyluric acid
colorectal adenoma,HMDB0004400,5-Acetylamino-6-amino-3-methyluracil
colorectal adenoma,HMDB0004827,Proline betaine
colorectal adenoma,HMDB0006029,N-Acetylglutamine
colorectal adenoma,HMDB0010325,Ethyl glucuronide
colorectal adenoma,HMDB0010738,1-Methylxanthine
colorectal adenoma,HMDB0011103,"1,7-Dimethyluric acid"
colorectal adenoma,HMDB0011747,Ciliatine
colorectal adenoma,HMDB0012154,3-Dehydrocarnitine
colorectal adenoma,HMDB0034220,Levoinositol
colorectal adenoma,HMDB0061112,3-Carboxy-4-methyl-5-propyl-2-furanpropionic acid
colorectal adenoma,HMDB0062583,N-benzoylglycinate
colorectal adenoma,HMDB0062660,N-methyl-L-glutamic Acid
colorectal adenoma,HMDB0094696,N-Methyl-L-proline
colorectal cancer,HMDB0000002,"1,3-Diaminopropane"
colorectal cancer,HMDB0000008,2-Hydroxybutyric acid
colorectal cancer,HMDB0000011,3-Hydroxybutyric acid
colorectal cancer,HMDB0000012,Deoxyuridine
colorectal cancer,HMDB0000014,Deoxycytidine
colorectal cancer,HMDB0000017,4-Pyridoxic acid
colorectal cancer,HMDB0000019,alpha-Ketoisovaleric acid
colorectal cancer,HMDB0000020,p-Hydroxyphenylacetic acid
colorectal cancer,HMDB0000023,(S)-3-Hydroxyisobutyric acid
colorectal cancer,HMDB0000026,Ureidopropionic acid
colorectal cancer,HMDB0000030,Biotin
colorectal cancer,HMDB0000034,Adenine
colorectal cancer,HMDB0000036,Taurocholic acid
colorectal cancer,HMDB0000038,Dihydrobiopterin
colorectal cancer,HMDB0000039,Butyric acid
colorectal cancer,HMDB0000042,Acetic acid
colorectal cancer,HMDB0000043,Betaine
colorectal cancer,HMDB0000045,Adenosine monophosphate
colorectal cancer,HMDB0000050,Adenosine
colorectal cancer,HMDB0000054,Bilirubin
colorectal cancer,HMDB0000056,beta-Alanine
colorectal cancer,HMDB0000060,Acetoacetic acid
colorectal cancer,HMDB0000062,L-Carnitine
colorectal cancer,HMDB0000064,Creatine
colorectal cancer,HMDB0000067,Cholesterol
colorectal cancer,HMDB0000070,Pipecolic acid
colorectal cancer,HMDB0000071,Deoxyinosine
colorectal cancer,HMDB0000076,Dihydrouracil
colorectal cancer,HMDB0000085,Deoxyguanosine
colorectal cancer,HMDB0000089,Cytidine
colorectal cancer,HMDB0000092,Dimethylglycine
colorectal cancer,HMDB0000094,Citric acid
colorectal cancer,HMDB0000095,Cytidine monophosphate
colorectal cancer,HMDB0000097,Choline
colorectal cancer,HMDB0000098,D-Xylose
colorectal cancer,HMDB0000101,Deoxyadenosine
colorectal cancer,HMDB0000112,gamma-Aminobutyric acid
colorectal cancer,HMDB0000115,Glycolic acid
colorectal cancer,HMDB0000122,D-Glucose
colorectal cancer,HMDB0000123,Glycine
colorectal cancer,HMDB0000126,Glycerol 3-phosphate
colorectal cancer,HMDB0000131,Glycerol
colorectal cancer,HMDB0000132,Guanine
colorectal cancer,HMDB0000133,Guanosine
colorectal cancer,HMDB0000134,Fumaric acid
colorectal cancer,HMDB0000138,Glycocholic acid
colorectal cancer,HMDB0000139,Glyceric acid
colorectal cancer,HMDB0000143,D-Galactose
colorectal cancer,HMDB0000148,L-Glutamic acid
colorectal cancer,HMDB0000149,Ethanolamine
colorectal cancer,HMDB0000152,Gentisic acid
colorectal cancer,HMDB0000156,Malic acid
colorectal cancer,HMDB0000157,Hypoxanthine
colorectal cancer,HMDB0000158,L-Tyrosine
colorectal cancer,HMDB0000159,L-Phenylalanine
colorectal cancer,HMDB0000161,L-Alanine
colorectal cancer,HMDB0000162,L-Proline
colorectal cancer,HMDB0000163,D-Maltose
colorectal cancer,HMDB0000167,L-Threonine
colorectal cancer,HMDB0000168,L-Asparagine
colorectal cancer,HMDB0000169,D-Mannose
colorectal cancer,HMDB0000172,L-Isoleucine
colorectal cancer,HMDB0000174,L-Fucose
colorectal cancer,HMDB0000177,L-Histidine
colorectal cancer,HMDB0000182,L-Lysine
colorectal cancer,HMDB0000187,L-Serine
colorectal cancer,HMDB0000190,L-Lactic acid
colorectal cancer,HMDB0000191,L-Aspartic acid
colorectal cancer,HMDB0000192,L-Cystine
colorectal cancer,HMDB0000194,Anserine
colorectal cancer,HMDB0000195,Inosine
colorectal cancer,HMDB0000197,Indoleacetic acid
colorectal cancer,HMDB0000201,L-Acetylcarnitine
colorectal cancer,HMDB0000206,N6-Acetyl-L-lysine
colorectal cancer,HMDB0000207,Oleic acid
colorectal cancer,HMDB0000208,Oxoglutaric acid
colorectal cancer,HMDB0000209,Phenylacetic acid
colorectal cancer,HMDB0000210,Pantothenic acid
colorectal cancer,HMDB0000211,myo-Inositol
colorectal cancer,HMDB0000212,N-Acetylgalactosamine
colorectal cancer,HMDB0000213,myo-Inositol 1-phosphate
colorectal cancer,HMDB0000214,Ornithine
colorectal cancer,HMDB0000215,N-Acetyl-D-glucosamine
colorectal cancer,HMDB0000220,Palmitic acid
colorectal cancer,HMDB0000222,Palmitoylcarnitine
colorectal cancer,HMDB0000224,O-Phosphoethanolamine
colorectal cancer,HMDB0000226,Orotic acid
colorectal cancer,HMDB0000228,Phenol
colorectal cancer,HMDB0000230,N-Acetylneuraminic acid
colorectal cancer,HMDB0000235,Thiamine
colorectal cancer,HMDB0000237,Propionic acid
colorectal cancer,HMDB0000239,Pyridoxine
colorectal cancer,HMDB0000243,Pyruvic acid
colorectal cancer,HMDB0000244,Riboflavin
colorectal cancer,HMDB0000247,Sorbitol
colorectal cancer,HMDB0000251,Taurine
colorectal cancer,HMDB0000252,Sphingosine
colorectal cancer,HMDB0000254,Succinic acid
colorectal cancer,HMDB0000256,Squalene
colorectal cancer,HMDB0000258,Sucrose
colorectal cancer,HMDB0000259,Serotonin
colorectal cancer,HMDB0000262,Thymine
colorectal cancer,HMDB0000267,Pyroglutamic acid
colorectal cancer,HMDB0000269,Sphinganine
colorectal cancer,HMDB0000271,Sarcosine
colorectal cancer,HMDB0000273,Thymidine
colorectal cancer,HMDB0000279,Saccharopine
colorectal cancer,HMDB0000283,D-Ribose
colorectal cancer,HMDB0000289,Uric acid
colorectal cancer,HMDB0000291,Vanillylmandelic acid
colorectal cancer,HMDB0000292,Xanthine
colorectal cancer,HMDB0000294,Urea
colorectal cancer,HMDB0000296,Uridine
colorectal cancer,HMDB0000299,Xanthosine
colorectal cancer,HMDB0000300,Uracil
colorectal cancer,HMDB0000301,Urocanic acid
colorectal cancer,HMDB0000303,Tryptamine
colorectal cancer,HMDB0000306,Tyramine
colorectal cancer,HMDB0000317,2-Hydroxy-3-methylpentanoic acid
colorectal cancer,HMDB0000321,2-Hydroxyadipic acid
colorectal cancer,HMDB0000325,3-Hydroxysuberic acid
colorectal cancer,HMDB0000355,3-Hydroxymethylglutaric acid
colorectal cancer,HMDB0000365,Epiandrosterone
colorectal cancer,HMDB0000375,3-(3-Hydroxyphenyl)propanoic acid
colorectal cancer,HMDB0000391,7-Ketodeoxycholic acid
colorectal cancer,HMDB0000400,"3,7-Dihydroxy-12-oxocholanoic acid"
colorectal cancer,HMDB0000407,2-Hydroxy-3-methylbutyric acid
colorectal cancer,HMDB0000415,"3a,6b,7b-Trihydroxy-5b-cholanoic acid"
colorectal cancer,HMDB0000417,"3D,7D,11D-Phytanic acid"
colorectal cancer,HMDB0000422,2-Methylglutaric acid
colorectal cancer,HMDB0000423,"3,4-Dihydroxyhydrocinnamic acid"
colorectal cancer,HMDB0000426,Citramalic acid
colorectal cancer,HMDB0000439,2-Furoylglycine
colorectal cancer,HMDB0000440,3-Hydroxyphenylacetic acid
colorectal cancer,HMDB0000446,N-alpha-Acetyl-L-lysine
colorectal cancer,HMDB0000448,Adipic acid
colorectal cancer,HMDB0000450,5-Hydroxylysine
colorectal cancer,HMDB0000451,cis-4-Hydroxycyclohexylacetic acid
colorectal cancer,HMDB0000452,L-alpha-Aminobutyric acid
colorectal cancer,HMDB0000453,delta-Hexanolactone
colorectal cancer,HMDB0000462,Allantoin
colorectal cancer,HMDB0000466,3-Methylindole
colorectal cancer,HMDB0000467,Nutriacholic acid
colorectal cancer,HMDB0000472,5-Hydroxy-L-tryptophan
colorectal cancer,HMDB0000479,3-Methylhistidine
colorectal cancer,HMDB0000482,Caprylic acid
colorectal cancer,HMDB0000484,Vanillic acid
colorectal cancer,HMDB0000486,7-Hydroxyoctanoic acid
colorectal cancer,HMDB0000491,3-Methyl-2-oxovaleric acid
colorectal cancer,HMDB0000494,Stigmastanol
colorectal cancer,HMDB0000500,4-Hydroxybenzoic acid
colorectal cancer,HMDB0000502,3-Oxocholic acid
colorectal cancer,HMDB0000508,Ribitol
colorectal cancer,HMDB0000510,Aminoadipic acid
colorectal cancer,HMDB0000511,Capric acid
colorectal cancer,HMDB0000512,N-Acetyl-L-phenylalanine
colorectal cancer,HMDB0000517,L-Arginine
colorectal cancer,HMDB0000525,5-Hydroxyhexanoic acid
colorectal cancer,HMDB0000529,5Z-Dodecenoic acid
colorectal cancer,HMDB0000532,Acetylglycine
colorectal cancer,HMDB0000535,Caproic acid
colorectal cancer,HMDB0000539,Arabinonic acid
colorectal cancer,HMDB0000553,"3L,7D,11D-Phytanic acid"
colorectal cancer,HMDB0000555,3-Methyladipic acid
colorectal cancer,HMDB0000557,L-Alloisoleucine
colorectal cancer,HMDB0000562,Creatinine
colorectal cancer,HMDB0000563,D-Phenyllactic acid
colorectal cancer,HMDB0000568,D-Arabitol
colorectal cancer,HMDB0000573,Elaidic acid
colorectal cancer,HMDB0000574,L-Cysteine
colorectal cancer,HMDB0000577,5beta-Coprostanol
colorectal cancer,HMDB0000594,gamma-Glutamylphenylalanine
colorectal cancer,HMDB0000613,Erythronic acid
colorectal cancer,HMDB0000619,Cholic acid
colorectal cancer,HMDB0000621,D-Ribulose
colorectal cancer,HMDB0000623,Dodecanedioic acid
colorectal cancer,HMDB0000625,Gluconic acid
colorectal cancer,HMDB0000626,Deoxycholic acid
colorectal cancer,HMDB0000630,Cytosine
colorectal cancer,HMDB0000631,Deoxycholic acid glycine conjugate
colorectal cancer,HMDB0000634,Citraconic acid
colorectal cancer,HMDB0000637,Chenodeoxycholic acid glycine conjugate
colorectal cancer,HMDB0000638,Dodecanoic acid
colorectal cancer,HMDB0000640,Levoglucosan
colorectal cancer,HMDB0000641,L-Glutamine
colorectal cancer,HMDB0000646,L-Arabinose
colorectal cancer,HMDB0000650,D-alpha-Aminobutyric acid
colorectal cancer,HMDB0000651,Decanoylcarnitine
colorectal cancer,HMDB0000660,D-Fructose
colorectal cancer,HMDB0000661,Glutaric acid
colorectal cancer,HMDB0000665,Leucinic acid
colorectal cancer,HMDB0000666,Heptanoic acid
colorectal cancer,HMDB0000671,Indolelactic acid
colorectal cancer,HMDB0000672,Hexadecanedioic acid
colorectal cancer,HMDB0000673,Linoleic acid
colorectal cancer,HMDB0000678,Isovalerylglycine
colorectal cancer,HMDB0000679,Homocitrulline
colorectal cancer,HMDB0000682,Indoxyl sulfate
colorectal cancer,HMDB0000687,L-Leucine
colorectal cancer,HMDB0000689,Isocaproic acid
colorectal cancer,HMDB0000691,Malonic acid
colorectal cancer,HMDB0000695,Ketoleucine
colorectal cancer,HMDB0000696,L-Methionine
colorectal cancer,HMDB0000700,Hydroxypropionic acid
colorectal cancer,HMDB0000701,Hexanoylglycine
colorectal cancer,HMDB0000703,Mandelic acid
colorectal cancer,HMDB0000706,Aspartylphenylalanine
colorectal cancer,HMDB0000707,4-Hydroxyphenylpyruvic acid
colorectal cancer,HMDB0000708,Glycoursodeoxycholic acid
colorectal cancer,HMDB0000710,4-Hydroxybutyric acid
colorectal cancer,HMDB0000711,Hydroxyoctanoic acid
colorectal cancer,HMDB0000712,Hexadecanedioic acid mono-L-carnitine ester
colorectal cancer,HMDB0000714,Hippuric acid
colorectal cancer,HMDB0000715,Kynurenic acid
colorectal cancer,HMDB0000718,Isovaleric acid
colorectal cancer,HMDB0000719,L-Homoserine
colorectal cancer,HMDB0000720,Levulinic acid
colorectal cancer,HMDB0000721,Glycylproline
colorectal cancer,HMDB0000722,Lithocholyltaurine
colorectal cancer,HMDB0000725,4-Hydroxyproline
colorectal cancer,HMDB0000729,alpha-Hydroxyisobutyric acid
colorectal cancer,HMDB0000742,Homocysteine
colorectal cancer,HMDB0000744,Malate
colorectal cancer,HMDB0000746,Hydroxyisocaproic acid
colorectal cancer,HMDB0000748,L-3-Phenyllactic acid
colorectal cancer,HMDB0000752,Methylglutaric acid
colorectal cancer,HMDB0000754,3-Hydroxyisovaleric acid
colorectal cancer,HMDB0000755,Hydroxyphenyllactic acid
colorectal cancer,HMDB0000756,Hexanoylcarnitine
colorectal cancer,HMDB0000759,Glycylleucine
colorectal cancer,HMDB0000760,Hyocholic acid
colorectal cancer,HMDB0000761,Lithocholic acid
colorectal cancer,HMDB0000764,Hydrocinnamic acid
colorectal cancer,HMDB0000765,Mannitol
colorectal cancer,HMDB0000766,N-Acetyl-L-alanine
colorectal cancer,HMDB0000767,Pseudouridine
colorectal cancer,HMDB0000772,Nonadecanoic acid
colorectal cancer,HMDB0000779,Phenyllactic acid
colorectal cancer,HMDB0000782,Octadecanedioic acid
colorectal cancer,HMDB0000784,Azelaic acid
colorectal cancer,HMDB0000791,Octanoylcarnitine
colorectal cancer,HMDB0000792,Sebacic acid
colorectal cancer,HMDB0000801,Phytanic acid
colorectal cancer,HMDB0000802,Pterin
colorectal cancer,HMDB0000806,Myristic acid
colorectal cancer,HMDB0000808,N-Butyrylglycine
colorectal cancer,HMDB0000812,N-Acetyl-L-aspartic acid
colorectal cancer,HMDB0000822,p-Hydroxymandelic acid
colorectal cancer,HMDB0000826,Pentadecanoic acid
colorectal cancer,HMDB0000827,Stearic acid
colorectal cancer,HMDB0000840,Salicyluric acid
colorectal cancer,HMDB0000847,Pelargonic acid
colorectal cancer,HMDB0000848,Stearoylcarnitine
colorectal cancer,HMDB0000849,Rhamnose
colorectal cancer,HMDB0000852,beta-Sitosterol
colorectal cancer,HMDB0000853,N-Acetyl-b-D-galactosamine
colorectal cancer,HMDB0000854,Formiminoglutamic acid
colorectal cancer,HMDB0000857,Pimelic acid
colorectal cancer,HMDB0000866,N-Acetyl-L-tyrosine
colorectal cancer,HMDB0000870,Histamine
colorectal cancer,HMDB0000872,Tetradecanedioic acid
colorectal cancer,HMDB0000873,4-Methylcatechol
colorectal cancer,HMDB0000874,Tauroursodeoxycholic acid
colorectal cancer,HMDB0000875,Trigonelline
colorectal cancer,HMDB0000878,Ergosterol
colorectal cancer,HMDB0000881,Xanthurenic acid
colorectal cancer,HMDB0000883,L-Valine
colorectal cancer,HMDB0000884,Ribothymidine
colorectal cancer,HMDB0000888,Undecanedioic acid
colorectal cancer,HMDB0000892,Valeric acid
colorectal cancer,HMDB0000893,Suberic acid
colorectal cancer,HMDB0000896,Taurodeoxycholic acid
colorectal cancer,HMDB0000897,7-Methylguanine
colorectal cancer,HMDB0000904,Citrulline
colorectal cancer,HMDB0000908,5alpha-Cholestanol
colorectal cancer,HMDB0000921,Cholestenone
colorectal cancer,HMDB0000925,Trimethylamine N-oxide
colorectal cancer,HMDB0000929,L-Tryptophan
colorectal cancer,HMDB0000933,Traumatic acid
colorectal cancer,HMDB0000937,Stigmasterol
colorectal cancer,HMDB0000943,Threonic acid
colorectal cancer,HMDB0000944,Behenic acid
colorectal cancer,HMDB0000946,Ursodeoxycholic acid
colorectal cancer,HMDB0000947,Undecanoic acid
colorectal cancer,HMDB0000951,Taurochenodesoxycholic acid
colorectal cancer,HMDB0000954,Ferulic acid
colorectal cancer,HMDB0000956,Tartaric acid
colorectal cancer,HMDB0000991,DL-2-Aminooctanoic acid
colorectal cancer,HMDB0001008,Biliverdin
colorectal cancer,HMDB0001015,N-Formyl-L-methionine
colorectal cancer,HMDB0001032,Dehydroepiandrosterone sulfate
colorectal cancer,HMDB0001043,Arachidonic acid
colorectal cancer,HMDB0001067,N-Acetylaspartylglutamic acid
colorectal cancer,HMDB0001078,Mannose 6-phosphate
colorectal cancer,HMDB0001123,2-Aminobenzoic acid
colorectal cancer,HMDB0001129,N-Acetylmannosamine
colorectal cancer,HMDB0001138,N-Acetyl-L-glutamic acid
colorectal cancer,HMDB0001160,Tricosanoic acid
colorectal cancer,HMDB0001161,4-Trimethylammoniobutanoic acid
colorectal cancer,HMDB0001170,Lathosterol
colorectal cancer,HMDB0001173,5'-Methylthioadenosine
colorectal cancer,HMDB0001202,dCMP
colorectal cancer,HMDB0001227,5-Thymidylic acid
colorectal cancer,HMDB0001248,FAD
colorectal cancer,HMDB0001251,Lanosterol
colorectal cancer,HMDB0001257,Spermidine
colorectal cancer,HMDB0001266,L-Sorbose
colorectal cancer,HMDB0001316,6-Phosphogluconic acid
colorectal cancer,HMDB0001325,"N6,N6,N6-Trimethyl-L-lysine"
colorectal cancer,HMDB0001336,"3,4-Dihydroxybenzeneacetic acid"
colorectal cancer,HMDB0001348,SM(d18:1/18:0)
colorectal cancer,HMDB0001352,Hydroxypyruvic acid
colorectal cancer,HMDB0001370,Diaminopimelic acid
colorectal cancer,HMDB0001388,alpha-Linolenic acid
colorectal cancer,HMDB0001392,p-Aminobenzoic acid
colorectal cancer,HMDB0001401,Glucose 6-phosphate
colorectal cancer,HMDB0001406,Niacinamide
colorectal cancer,HMDB0001414,Putrescine
colorectal cancer,HMDB0001429,Phosphate
colorectal cancer,HMDB0001432,Agmatine
colorectal cancer,HMDB0001488,Nicotinic acid
colorectal cancer,HMDB0001492,gamma-Tocopherol
colorectal cancer,HMDB0001496,7alpha-Hydroxycholesterol
colorectal cancer,HMDB0001514,Glucosamine
colorectal cancer,HMDB0001520,Flavin mononucleotide
colorectal cancer,HMDB0001527,3-Methylthiopropionic acid
colorectal cancer,HMDB0001539,Asymmetric dimethylarginine
colorectal cancer,HMDB0001545,Pyridoxal
colorectal cancer,HMDB0001563,1-Methylguanosine
colorectal cancer,HMDB0001565,Phosphorylcholine
colorectal cancer,HMDB0001644,D-Xylulose
colorectal cancer,HMDB0001645,L-Norleucine
colorectal cancer,HMDB0001844,Methylsuccinic acid
colorectal cancer,HMDB0001847,Caffeine
colorectal cancer,HMDB0001851,L-Arabitol
colorectal cancer,HMDB0001856,Protocatechuic acid
colorectal cancer,HMDB0001857,"1,3-Dimethyluric acid"
colorectal cancer,HMDB0001858,p-Cresol
colorectal cancer,HMDB0001859,Acetaminophen
colorectal cancer,HMDB0001860,Paraxanthine
colorectal cancer,HMDB0001870,Benzoic acid
colorectal cancer,HMDB0001873,Isobutyric acid
colorectal cancer,HMDB0001881,Propylene glycol
colorectal cancer,HMDB0001882,Dihydroxyacetone
colorectal cancer,HMDB0001886,3-Methylxanthine
colorectal cancer,HMDB0001889,Theophylline
colorectal cancer,HMDB0001893,alpha-Tocopherol
colorectal cancer,HMDB0001895,Salicylic acid
colorectal cancer,HMDB0001921,"1,1-Dimethylbiguanide"
colorectal cancer,HMDB0001923,Naproxen
colorectal cancer,HMDB0001928,Hydrochlorothiazide
colorectal cancer,HMDB0001929,Levofloxacin
colorectal cancer,HMDB0001931,gamma-CEHC
colorectal cancer,HMDB0001932,Metoprolol
colorectal cancer,HMDB0001933,Furosemide
colorectal cancer,HMDB0001943,Pseudoephedrine
colorectal cancer,HMDB0001954,3-Hydroxyoctanoic acid
colorectal cancer,HMDB0001964,Caffeic acid
colorectal cancer,HMDB0001976,Docosapentaenoic acid (22n-6)
colorectal cancer,HMDB0001982,"3,7-Dimethyluric acid"
colorectal cancer,HMDB0001988,4-Hydroxycyclohexylcarboxylic acid
colorectal cancer,HMDB0001991,7-Methylxanthine
colorectal cancer,HMDB0001999,Eicosapentaenoic acid
colorectal cancer,HMDB0002000,Myristoleic acid
colorectal cancer,HMDB0002003,Tetracosanoic acid
colorectal cancer,HMDB0002005,Methionine sulfoxide
colorectal cancer,HMDB0002017,1-Phenylethylamine
colorectal cancer,HMDB0002019,Phytol
colorectal cancer,HMDB0002032,8-Hydroxyguanine
colorectal cancer,HMDB0002035,4-Hydroxycinnamic acid
colorectal cancer,HMDB0002064,N-Acetylputrescine
colorectal cancer,HMDB0002068,Erucic acid
colorectal cancer,HMDB0002085,Syringic acid
colorectal cancer,HMDB0002088,Oleoylethanolamide
colorectal cancer,HMDB0002100,Palmitoylethanolamide
colorectal cancer,HMDB0002107,Phthalic acid
colorectal cancer,HMDB0002117,Oleamide
colorectal cancer,HMDB0002123,"1,3,7-Trimethyluric acid"
colorectal cancer,HMDB0002124,Apigenin
colorectal cancer,HMDB0002183,Docosahexaenoic acid
colorectal cancer,HMDB0002199,Desaminotyrosine
colorectal cancer,HMDB0002203,3-Hydroxycapric acid
colorectal cancer,HMDB0002212,Arachidic acid
colorectal cancer,HMDB0002231,11Z-Eicosenoic acid
colorectal cancer,HMDB0002259,Heptadecanoic acid
colorectal cancer,HMDB0002261,2-Hydroxymyristic acid
colorectal cancer,HMDB0002264,(R)-2-Hydroxycaprylic acid
colorectal cancer,HMDB0002269,Curcumin
colorectal cancer,HMDB0002271,Imidazolepropionic acid
colorectal cancer,HMDB0002284,N-Acetylcadaverine
colorectal cancer,HMDB0002302,Indole-3-propionic acid
colorectal cancer,HMDB0002322,Cadaverine
colorectal cancer,HMDB0002327,"1,11-Undecanedicarboxylic acid"
colorectal cancer,HMDB0002350,Octadecanol
colorectal cancer,HMDB0002364,Oleanolic acid
colorectal cancer,HMDB0002368,Nervonic acid
colorectal cancer,HMDB0002372,N-Phenylacetylphenylalanine
colorectal cancer,HMDB0002395,Ursolic acid
colorectal cancer,HMDB0002432,Sumiki's acid
colorectal cancer,HMDB0002466,3-Hydroxybenzoic acid
colorectal cancer,HMDB0002520,beta-Glycerophosphoric acid
colorectal cancer,HMDB0002545,Galacturonic acid
colorectal cancer,HMDB0002580,Taurolithocholic acid 3-sulfate
colorectal cancer,HMDB0002639,Sulfolithocholylglycine
colorectal cancer,HMDB0002658,6-Hydroxynicotinic acid
colorectal cancer,HMDB0002670,Naringenin
colorectal cancer,HMDB0002759,Androsterone sulfate
colorectal cancer,HMDB0002780,Catechin
colorectal cancer,HMDB0002815,LysoPC(18:1(9Z)/0:0)
colorectal cancer,HMDB0002823,Docosatrienoic acid
colorectal cancer,HMDB0002825,Theobromine
colorectal cancer,HMDB0002869,Campesterol
colorectal cancer,HMDB0002902,delta-Tocopherol
colorectal cancer,HMDB0002917,D-Xylitol
colorectal cancer,HMDB0002925,Dihomo-gamma-linolenic acid
colorectal cancer,HMDB0002994,Erythritol
colorectal cancer,HMDB0003072,Quinic acid
colorectal cancer,HMDB0003073,gamma-Linolenic acid
colorectal cancer,HMDB0003099,1-Methyluric acid
colorectal cancer,HMDB0003156,"2,3-Butanediol"
colorectal cancer,HMDB0003178,Heme
colorectal cancer,HMDB0003213,Raffinose
colorectal cancer,HMDB0003217,Genistein
colorectal cancer,HMDB0003224,Deoxyribose
colorectal cancer,HMDB0003229,Palmitoleic acid
colorectal cancer,HMDB0003231,Vaccenic acid
colorectal cancer,HMDB0003236,Solanidine
colorectal cancer,HMDB0003312,Daidzein
colorectal cancer,HMDB0003320,Indole-3-carboxylic acid
colorectal cancer,HMDB0003331,1-Methyladenosine
colorectal cancer,HMDB0003334,Symmetric dimethylarginine
colorectal cancer,HMDB0003339,D-Glutamic acid
colorectal cancer,HMDB0003345,alpha-D-Glucose
colorectal cancer,HMDB0003355,5-Aminopentanoic acid
colorectal cancer,HMDB0003363,Pectic acid
colorectal cancer,HMDB0003371,L-Ribulose
colorectal cancer,HMDB0003374,D-Ornithine
colorectal cancer,HMDB0003424,1-Hexadecanol
colorectal cancer,HMDB0003464,4-Guanidinobutanoic acid
colorectal cancer,HMDB0003646,N-Methylhydantoin
colorectal cancer,HMDB0003681,4-Acetamidobutanoic acid
colorectal cancer,HMDB0003818,5-Androstenediol
colorectal cancer,HMDB0003911,3-Aminoisobutanoic acid
colorectal cancer,HMDB0004041,L-Allothreonine
colorectal cancer,HMDB0004136,D-Threitol
colorectal cancer,HMDB0004157,Stercobilinogen
colorectal cancer,HMDB0004158,Urobilinogen
colorectal cancer,HMDB0004160,Urobilin
colorectal cancer,HMDB0004161,D-Urobilin
colorectal cancer,HMDB0004193,N1-Methyl-2-pyridone-5-carboxamide
colorectal cancer,HMDB0004207,Glutamyllysine
colorectal cancer,HMDB0004231,Panthenol
colorectal cancer,HMDB0004284,Tyrosol
colorectal cancer,HMDB0004362,4-Hydroxynonenal
colorectal cancer,HMDB0004400,5-Acetylamino-6-amino-3-methyluracil
