Metabolite,Biospecimen,Concentration,Patient Status,Age,Sex,Disease
Putrescine (HMDB0001414),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Phosphate (HMDB0001429),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Agmatine (HMDB0001432),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Nicotinic acid (HMDB0001488),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
gamma-Tocopherol (HMDB0001492),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
7alpha-Hydroxycholesterol (HMDB0001496),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glucosamine (HMDB0001514),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Methylthiopropionic acid (HMDB0001527),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Norleucine (HMDB0001645),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Methylsuccinic acid (HMDB0001844),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Caffeine (HMDB0001847),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Arabitol (HMDB0001851),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Protocatechuic acid (HMDB0001856),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"1,3-Dimethyluric acid (HMDB0001857)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
p-Cresol (HMDB0001858),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Acetaminophen (HMDB0001859),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Paraxanthine (HMDB0001860),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Benzoic acid (HMDB0001870),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Propylene glycol (HMDB0001881),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
alpha-Tocopherol (HMDB0001893),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"1,1-Dimethylbiguanide (HMDB0001921)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Hydrochlorothiazide (HMDB0001928),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Levofloxacin (HMDB0001929),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Metoprolol (HMDB0001932),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Caffeic acid (HMDB0001964),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"3,7-Dimethyluric acid (HMDB0001982)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
4-Hydroxycyclohexylcarboxylic acid (HMDB0001988),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
7-Methylxanthine (HMDB0001991),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Eicosapentaenoic acid (HMDB0001999),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Myristoleic acid (HMDB0002000),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tetracosanoic acid (HMDB0002003),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Methionine sulfoxide (HMDB0002005),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
1-Phenylethylamine (HMDB0002017),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
8-Hydroxyguanine (HMDB0002032),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
N-Acetylputrescine (HMDB0002064),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Erucic acid (HMDB0002068),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Oleoylethanolamide (HMDB0002088),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Palmitoylethanolamide (HMDB0002100),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"1,3,7-Trimethyluric acid (HMDB0002123)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Docosahexaenoic acid (HMDB0002183),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Desaminotyrosine (HMDB0002199),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Arachidic acid (HMDB0002212),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Heptadecanoic acid (HMDB0002259),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
(R)-2-Hydroxycaprylic acid (HMDB0002264),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Curcumin (HMDB0002269),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Imidazolepropionic acid (HMDB0002271),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
N-Acetylcadaverine (HMDB0002284),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Indole-3-propionic acid (HMDB0002302),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Cadaverine (HMDB0002322),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Octadecanol (HMDB0002350),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Oleanolic acid (HMDB0002364),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Nervonic acid (HMDB0002368),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
N-Phenylacetylphenylalanine (HMDB0002372),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Hydroxybenzoic acid (HMDB0002466),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Galacturonic acid (HMDB0002545),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Sulfolithocholylglycine (HMDB0002639),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
6-Hydroxynicotinic acid (HMDB0002658),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Naringenin (HMDB0002670),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Androsterone sulfate (HMDB0002759),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
LysoPC(18:1(9Z)/0:0) (HMDB0002815),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Theobromine (HMDB0002825),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Campesterol (HMDB0002869),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
delta-Tocopherol (HMDB0002902),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Xylitol (HMDB0002917),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Dihomo-gamma-linolenic acid (HMDB0002925),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Quinic acid (HMDB0003072),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
1-Methyluric acid (HMDB0003099),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"2,3-Butanediol (HMDB0003156)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Raffinose (HMDB0003213),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Genistein (HMDB0003217),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Deoxyribose (HMDB0003224),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Palmitoleic acid (HMDB0003229),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Vaccenic acid (HMDB0003231),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Solanidine (HMDB0003236),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Indole-3-carboxylic acid (HMDB0003320),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
5-Aminopentanoic acid (HMDB0003355),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Ornithine (HMDB0003374),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
1-Hexadecanol (HMDB0003424),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
4-Acetamidobutanoic acid (HMDB0003681),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
5-Androstenediol (HMDB0003818),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Aminoisobutanoic acid (HMDB0003911),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Allothreonine (HMDB0004041),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Threitol (HMDB0004136),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Stercobilinogen (HMDB0004157),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Urobilin (HMDB0004160),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Urobilin (HMDB0004161),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
N1-Methyl-2-pyridone-5-carboxamide (HMDB0004193),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
5-Acetylamino-6-amino-3-methyluracil (HMDB0004400),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Proline betaine (HMDB0004827),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Cer(d18:1/12:0) (HMDB0004947),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Cer(d18:1/18:1(9Z)) (HMDB0004948),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Cer(d18:1/16:0) (HMDB0004949),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Cer(d18:1/18:0) (HMDB0004950),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Cer(d18:1/20:0) (HMDB0004951),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Cer(d18:1/22:0) (HMDB0004952),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Cer(d18:1/24:1(15Z)) (HMDB0004953),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Cer(d18:1/26:0) (HMDB0004955),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Cer(d18:1/24:0) (HMDB0004956),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Cer(d18:1/25:0) (HMDB0004957),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Atorvastatin (HMDB0005006),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Gabapentin (HMDB0005015),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Eicosadienoic acid (HMDB0005060),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
(R)-Salsolinol (HMDB0005199),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Gallic acid (HMDB0005807),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Enterolactone (HMDB0006101),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
7beta-Hydroxycholesterol (HMDB0006119),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"5,8,11-Eicosatrienoic acid (HMDB0010378)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
1-Methylxanthine (HMDB0010738),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"1,7-Dimethyluric acid (HMDB0011103)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
LysoPE(18:0/0:0) (HMDB0011130),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
gamma-Glutamylisoleucine (HMDB0011170),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
gamma-Glutamylleucine (HMDB0011171),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
LysoPE(16:0/0:0) (HMDB0011503),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
LysoPE(18:1(9Z)/0:0) (HMDB0011506),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"LysoPE(18:2(9Z,12Z)/0:0) (HMDB0011507)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"MG(0:0/18:2(9Z,12Z)/0:0) (HMDB0011538)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
MG(18:1(9Z)/0:0/0:0) (HMDB0011567),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"MG(18:2(9Z,12Z)/0:0/0:0) (HMDB0011568)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"MG(18:3(6Z,9Z,12Z)/0:0/0:0) (HMDB0011569)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"Adenosine 2',3'-cyclic phosphate (HMDB0011616)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
p-Cresol sulfate (HMDB0011635),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
4-Hydroxybenzyl alcohol (HMDB0011724),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
5-Keto-D-gluconate (HMDB0011731),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycyl-glycine (HMDB0011733),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
gamma-Glutamylglutamic acid (HMDB0011737),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
N-Acetyl-L-methionine (HMDB0011745),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
2-Piperidinone (HMDB0011749),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
N-Acetylleucine (HMDB0011756),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
N-Acetylvaline (HMDB0011757),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Dehydrocarnitine (HMDB0012154),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Alanyltryptophan (HMDB0013209),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Leucylphenylalanine (HMDB0013243),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Phenylalanylphenylalanine (HMDB0013302),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
N-Acetyltryptophan (HMDB0013713),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Norvaline (HMDB0013716),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Probenecid (HMDB0015166),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Alanylalanine (HMDB0028680),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Alanylglutamic acid (HMDB0028686),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Alanylisoleucine (HMDB0028690),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Alanylleucine (HMDB0028691),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Alanylphenylalanine (HMDB0028694),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Alanylproline (HMDB0028695),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Alanylvaline (HMDB0028700),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Arginylleucine (HMDB0028713),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Arginylphenylalanine (HMDB0028716),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Arginylvaline (HMDB0028722),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Asparaginylisoleucine (HMDB0028734),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Asparaginyl-Leucine (HMDB0028735),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Asparaginyl-Valine (HMDB0028744),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Aspartyl-Leucine (HMDB0028757),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glutamylisoleucine (HMDB0028822),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glutamylleucine (HMDB0028823),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycyl-Isoleucine (HMDB0028844),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycyl-Methionine (HMDB0028847),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycyl-Phenylalanine (HMDB0028848),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycyl-Threonine (HMDB0028851),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycyl-Tryptophan (HMDB0028852),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycyltyrosine (HMDB0028853),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycylvaline (HMDB0028854),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Histidylisoleucine (HMDB0028888),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Histidylleucine (HMDB0028889),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Histidylphenylalanine (HMDB0028892),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Histidylproline (HMDB0028893),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Histidylvaline (HMDB0028898),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Isoleucyl-Alanine (HMDB0028900),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Isoleucyl-Arginine (HMDB0028901),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Isoleucyl-Glutamate (HMDB0028906),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Isoleucyl-Glycine (HMDB0028907),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Isoleucyl-Isoleucine (HMDB0028910),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Isoleucyl-Leucine (HMDB0028911),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Isoleucyl-Methionine (HMDB0028913),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Isoleucyl-Phenylalanine (HMDB0028914),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Isoleucyl-Serine (HMDB0028916),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Isoleucyl-Threonine (HMDB0028917),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Isoleucyl-Tryptophan (HMDB0028918),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Isoleucyl-Tyrosine (HMDB0028919),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Isoleucyl-Valine (HMDB0028920),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Leucylalanine (HMDB0028922),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Leucyl-Glutamate (HMDB0028928),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Leucyl-Glycine (HMDB0028929),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Leucyl-Isoleucine (HMDB0028932),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Leucyl-Methionine (HMDB0028935),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Leucyl-Serine (HMDB0028938),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Leucyl-Threonine (HMDB0028939),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Leucyl-Tryptophan (HMDB0028940),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Leucyl-Tyrosine (HMDB0028941),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Lysylisoleucine (HMDB0028954),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Lysylleucine (HMDB0028955),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Lysylvaline (HMDB0028964),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Methionyl-Valine (HMDB0028986),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Phenylalanylalanine (HMDB0028988),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Phenylalanylaspartic acid (HMDB0028991),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Phenylalanylglutamic acid (HMDB0028994),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Phenylalanylisoleucine (HMDB0028998),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Phenylalanylserine (HMDB0029004),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Phenylalanylvaline (HMDB0029008),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Serylisoleucine (HMDB0029042),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Threonylphenylalanine (HMDB0029068),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tryptophyl-Glycine (HMDB0029083),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tryptophyl-Isoleucine (HMDB0029086),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tryptophyl-Leucine (HMDB0029087),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tryptophyl-Valine (HMDB0029096),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tyrosyl-Isoleucine (HMDB0029108),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tyrosyl-Leucine (HMDB0029109),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tyrosyl-Valine (HMDB0029118),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valylalanine (HMDB0029120),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valylaspartic acid (HMDB0029123),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valylglutamic acid (HMDB0029126),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valylisoleucine (HMDB0029130),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valylleucine (HMDB0029131),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valyllysine (HMDB0029132),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valylmethionine (HMDB0029133),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valylphenylalanine (HMDB0029134),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valylthreonine (HMDB0029137),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valyltyrosine (HMDB0029139),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valylvaline (HMDB0029140),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Piperine (HMDB0029377),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Saccharin (HMDB0029723),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Arabinose (HMDB0029942),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
2-Hydroxyhexadecanoic acid (HMDB0031057),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Isopalmitic acid (HMDB0031068),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"1,2,3-Propanetricarboxylic acid (HMDB0031193)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Sucralose (HMDB0031554),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
5-(2-Hydroxyethyl)-4-methylthiazole (HMDB0032985),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
(S)-Homostachydrine (HMDB0033433),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
2-Aminoheptanedioic acid (HMDB0034252),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Piperidine (HMDB0034301),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"Secoisolariciresinol 9,9'-diglucoside (HMDB0036323)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
xi-10-Hydroxyoctadecanoic acid (HMDB0037396),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
2-Hydroxyglutarate (HMDB0059655),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Paracetamol sulfate (HMDB0059911),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Phenol sulphate (HMDB0060015),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Xylonic acid (HMDB0060256),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
N-Acetylmuramate (HMDB0060493),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Carboxy-4-methyl-5-propyl-2-furanpropionic acid (HMDB0061112),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Lenticin (HMDB0061115),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
N-Acetylisoleucine (HMDB0061684),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
