Biospecimen,Status,Value,Age,Sex,Condition,Reference,Details,ID
Urine,Detected and Quantified,137.4 umol/mmol creatinine,Infant (0-1 year old),Not Specified,Metabolic acidosis,947633,details,HMDB0000355
Urine,Detected and Quantified,17.227 +/- 8.202 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Eosinophilic esophagitis,Analysis of 30 no...,details,HMDB0000355
Urine,Detected and Quantified,31.947 +/- 39.294 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Gastroesophageal reflux disease,Analysis of 30 no...,details,HMDB0000355
Blood,Detected and Quantified,3-2400 uM,Children (1-13 years old),Male,3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency,9337379,details,HMDB0001954
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,27015276,details,HMDB0001954
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0001954
Urine,Detected but not Quantified,Not Quantified,Not Specified,Not Specified,Cancer patients undergoing total body irradiation,31424920,details,HMDB0001954
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0000440
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0000440
Urine,Detected and Quantified,5.812 +/- 6.755 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Eosinophilic esophagitis,Analysis of 30 no...,details,HMDB0000440
Urine,Detected and Quantified,5.687 +/- 6.645 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Gastroesophageal reflux disease,Analysis of 30 no...,details,HMDB0000440
Urine,Detected and Quantified,2.854 +/- 2.31 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Eosinophilic esophagitis,Analysis of 30 no...,details,HMDB0000440
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Hypertension (mild),20013882,details,HMDB0000440
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Hypertension (mild),20013882,details,HMDB0000440
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Bladder cancer,28157703,details,HMDB0000440
Urine,Detected and Quantified,0.67 +/- 2.94 umol/mmol creatinine,Newborn (0-30 days old),Both,Phenylketonuria,2091926,details,HMDB0000440
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0000325
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0061656
Blood,Detected and Quantified,368 uM,Children (1-13 years old),Female,Maple syrup urine disease,Peritoneal dialys...,details,HMDB0000491
Blood,Detected and Quantified,142.0 +/- 9.0 uM,Adult (>18 years old),Both,Maple syrup urine disease (MSUD),10472531,details,HMDB0000491
Cerebrospinal Fluid (CSF),Detected and Quantified,101 uM,Children (1-13 years old),Female,Maple syrup urine disease,Peritoneal dialys...,details,HMDB0000491
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,27015276,details,HMDB0000491
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0000491
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0000491
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Male,Attachment loss,31026179,details,HMDB0000491
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Male,Missing teeth,31026179,details,HMDB0000491
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Male,Periodontal Probing Depth,31026179,details,HMDB0000491
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Male,Prosthesis/Missing teeth,31026179,details,HMDB0000491
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Male,Cardiosvacular risk,22887155,details,HMDB0000491
Urine,Detected and Quantified,4.333 +/- 3.83 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Eosinophilic esophagitis,Analysis of 30 no...,details,HMDB0000491
Urine,Detected and Quantified,209.0 +/- 35.0 umol/mmol creatinine,Adult (>18 years old),Both,Maple syrup urine disease (MSUD),10472531,details,HMDB0000491
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Bladder cancer,28157703,details,HMDB0000491
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0000555
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Crohn disease,28842642,details,HMDB0000555
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Ulcerative colitis,28842642,details,HMDB0000555
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Crohn disease,28842642,details,HMDB0000555
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Ulcerative colitis,28842642,details,HMDB0000555
Urine,Detected and Quantified,4.116 +/- 3.618 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Eosinophilic esophagitis,Analysis of 30 no...,details,HMDB0000555
Urine,Detected and Quantified,4.166 +/- 5.255 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Gastroesophageal reflux disease,Analysis of 30 no...,details,HMDB0000555
Urine,Detected and Quantified,20.00 +/- 5.54 umol/mmol creatinine,Children (1-13 years old),Both,Malnutrition (type kwashiorkor and marasmus),10731506,details,HMDB0000555
Urine,Detected and Quantified,5.854 +/- 3.396 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Eosinophilic esophagitis,Analysis of 30 no...,details,HMDB0000555
Urine,Detected and Quantified,5.9 (3.0-8.5) umol/mmol creatinine,Adult (>18 years old),Both,Refsum's disease,6186413,details,HMDB0000555
Blood,Detected and Quantified,13.0 +/- 10.4 uM,Adult (>18 years old),Both,Kidney disease,10838467,details,HMDB0000479
Blood,Detected and Quantified,23.7 +/- 18.6 uM,Adult (>18 years old),Both,Kidney disease,10838467,details,HMDB0000479
Blood,Detected and Quantified,50.7 (12.9)  uM,Adult (>18 years old),Female,Early preeclampsia,22494326,details,HMDB0000479
Blood,Detected and Quantified,50.0 (14.6)  uM,Adult (>18 years old),Female,Pregnancy,22494326,details,HMDB0000479
Blood,Detected and Quantified,5.16 +/- 1.27 uM,Elderly (>65 years old),Both,Alzheimer's disease,17031479,details,HMDB0000479
Cerebrospinal Fluid (CSF),Detected and Quantified,2.48 +/- 1.58 uM,Adult (>18 years old),Not Specified,Alzheimer's disease,17031479,details,HMDB0000479
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0000479
Urine,Detected and Quantified,24.0 +/- 1.7 umol/mmol creatinine,Adult (>18 years old),Both,Alzheimer's disease,17031479,details,HMDB0000479
Urine,Detected and Quantified,11.6 +/- 6.6 umol/mmol creatinine,Adult (>18 years old),Not Specified,Diabetes mellitus,15899597,details,HMDB0000479
Urine,Detected and Quantified,16.0 +/- 9.0 umol/mmol creatinine,Adult (>18 years old),Not Specified,Obesity,15899597,details,HMDB0000479
Urine,Detected and Quantified,57.778 +/- 73.153 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Eosinophilic esophagitis,Analysis of 30 no...,details,HMDB0000479
Urine,Detected and Quantified,44.5 +/- 1.3 umol/mmol creatinine,Adult (>18 years old),Both,Propionic acidemia,19551947,details,HMDB0000479
Feces,Detected but not Quantified,Not Quantified,Children (1-13 years old),Both,autism,24130822,details,HMDB0000466
Feces,Detected but not Quantified,Not Quantified,Children (1-13 years old),Both,Pervasive Developmental Disorder Not Otherwise Specified,24130822,details,HMDB0000466
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0000466
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Ulcerative colitis,24811995,details,HMDB0000466
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Crohn's disease,24811995,details,HMDB0000466
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0000466
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Nonalcoholic fatty liver disease (NAFLD),23454028,details,HMDB0000466
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Campylobacter jejuni infection,17314143,details,HMDB0000466
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Clostridium difficile infection,17314143,details,HMDB0000466
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Ulcerative Colitis,17314143,details,HMDB0000466
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Immunoglobulin A nephropathy (IgAN) non progressor,24922509,details,HMDB0000466
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Immunoglobulin A nephropathy (IgAN) progressor,24922509,details,HMDB0000466
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0001527
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0001527
Urine,Detected and Quantified,0.097 +/- 0.022 umol/mmol creatinine,Adult (>18 years old),Both,Liver Cirrhosis,3997054,details,HMDB0001527
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Female,Ovarian cancer,19010317,details,HMDB0004813
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0001886
Urine,Detected and Quantified,12.755 +/- 12.241 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Eosinophilic esophagitis,Analysis of 30 no...,details,HMDB0001886
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Autosomal dominant polycystic kidney disease (ADPKD),21389975,details,HMDB0001886
Urine,Detected and Quantified,8.0 (5.0-14.0) umol/mmol creatinine,Adult (>18 years old),Both,Asthma,15537072,details,HMDB0001886
Blood,Expected but not Quantified,Not Quantified,Not Specified,Not Specified,Cancer patients undergoing total body irradiation,31424920,details,HMDB0000502
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0000502
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0000502
Urine,Detected but not Quantified,Not Quantified,Not Specified,Not Specified,Cancer patients undergoing total body irradiation,31424920,details,HMDB0000502
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0094710
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0000417
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0000553
Blood,Expected but not Quantified,Not Quantified,Not Specified,Not Specified,Cancer patients undergoing total body irradiation,31424920,details,HMDB0000415
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0000415
Urine,Detected but not Quantified,Not Quantified,Not Specified,Not Specified,Cancer patients undergoing total body irradiation,31424920,details,HMDB0000415
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,27015276,details,HMDB0003681
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0003681
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0003681
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Bladder cancer,28157703,details,HMDB0003681
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0062551
Urine,Detected but not Quantified,Not Quantified,Not Specified,Not Specified,Cancer patients undergoing total body irradiation,31424920,details,HMDB0062551
Blood,Detected and Quantified,0.05 (0.013-0.09) uM,Adult (>18 years old),Both,Cirrhosis,7752905,details,HMDB0003464
Blood,Detected and Quantified,0.230 +/- 0.110 uM,Adult (>18 years old),Both,Uremia,12675874,details,HMDB0003464
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,27015276,details,HMDB0003464
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0003464
Urine,Detected and Quantified,1.0 +/- 0.8 umol/mmol creatinine,Adult (>18 years old),Both,Cirrhosis,7752905,details,HMDB0003464
Blood,Detected and Quantified,0.5 (0.0-1.0) uM,Adult (>18 years old),Both,Prostate Cancer,19212411,details,HMDB0011718
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,25037050,details,HMDB0011718
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,27015276,details,HMDB0011718
Urine,Detected and Quantified,6.703 +/- 1.305 umol/mmol creatinine,Adolescent (13-18 years old),Both,Obese,26910390,details,HMDB0011718
Cerebrospinal Fluid (CSF),Detected and Quantified,0.5 +/- 0.22  uM,Adult (>18 years old),Both,Supradiaphragmatic malignancy,10553836,details,HMDB0000500
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,27015276,details,HMDB0000500
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0000500
Urine,Detected and Quantified,2.988 +/- 2.795 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Eosinophilic esophagitis,Analysis of 30 no...,details,HMDB0000500
Urine,Detected and Quantified,3.158 +/- 2.557 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Gastroesophageal reflux disease,Analysis of 30 no...,details,HMDB0000500
Urine,Detected and Quantified,8.201 +/- 12.712 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Eosinophilic esophagitis,Analysis of 30 no...,details,HMDB0000500
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Hypertension (mild),20013882,details,HMDB0000500
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Hypertension (mild),20013882,details,HMDB0000500
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Bladder cancer,28157703,details,HMDB0000500
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,27015276,details,HMDB0011724
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0011724
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0011724
Blood,Detected and Quantified,2110-2920 uM,Infant (0-1 year old),Male,Succinic semialdehyde dehydrogenase deficiency,12127325,details,HMDB0000710
Cerebrospinal Fluid (CSF),Detected and Quantified,17 - 594 uM,Children (1-13 years old),Not Specified,Succinic semialdehyde dehydrogenase deficiency,14595661,details,HMDB0000710
Cerebrospinal Fluid (CSF),Detected and Quantified,1760-2200 uM,Infant (0-1 year old),Male,Succinic semialdehyde dehydrogenase deficiency,12127325,details,HMDB0000710
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,27015276,details,HMDB0000710
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0000710
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0000710
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Male,Attachment loss,31026179,details,HMDB0000710
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Male,Missing teeth,31026179,details,HMDB0000710
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Male,Periodontal Probing Depth,31026179,details,HMDB0000710
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Male,Tooth Decay,31026179,details,HMDB0000710
Urine,Detected and Quantified,17.277 +/- 19.542 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Eosinophilic esophagitis,Analysis of 30 no...,details,HMDB0000710
Urine,Detected and Quantified,1.00 (0.00-2.00) umol/mmol creatinine,Adult (>18 years old),Both,Glutaric aciduria II,MetaGene: Metabol...,details,HMDB0000710
Urine,Detected and Quantified,3865.0 (130.00-7600.00) umol/mmol creatinine,Children (1-13 years old),Both,Glutaric Aciduria II,MetaGene: Metabol...,details,HMDB0000710
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Bladder cancer,28157703,details,HMDB0000710
Urine,Detected and Quantified,880-3630 umol/mmol creatinine,Infant (0-1 year old),Male,Succinic semialdehyde dehydrogenase deficiency,12127325,details,HMDB0000710
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,27015276,details,HMDB0002035
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0002035
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0001988
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Bladder cancer,28157703,details,HMDB0001988
Blood,Detected and Quantified,93.846 +/- 33.846 uM,Adult (>18 years old),Both,Uremia,12675874,details,HMDB0013678
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0013678
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Bladder cancer,28157703,details,HMDB0013678
Urine,Detected and Quantified,35.234 +/- 16.83 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Eosinophilic esophagitis,Analysis of 30 no...,details,HMDB0013678
Urine,Detected and Quantified,35.795 +/- 21.952 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Gastroesophageal reflux disease,Analysis of 30 no...,details,HMDB0013678
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Hypertension (mild),20013882,details,HMDB0013678
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Hypertension (mild),20013882,details,HMDB0013678
Blood,Detected and Quantified,2650.0 +/- 140.0 uM,Adult (>18 years old),Both,Peripheral arterial disease,16608381,details,HMDB0004362
Blood,Detected and Quantified,0.75 +/- 0.31 uM,Adult (>18 years old),Both,uremia,22626821,details,HMDB0004362
Cerebrospinal Fluid (CSF),Detected and Quantified,1.47 (0.71-2.23) uM,Adult (>18 years old),Not Specified,Parkinson's disease,9667492,details,HMDB0004362
Cerebrospinal Fluid (CSF),Detected and Quantified,0.40 +/- 0.030  uM,Adult (>18 years old),Not Specified,Alzheimer's disease,11959400,details,HMDB0004362
Cerebrospinal Fluid (CSF),Detected and Quantified,0.36 +/- 0.03 uM,Adult (>18 years old),Both,Alzheimer's disease,11959400,details,HMDB0004362
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0004362
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0000707
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Male,Attachment loss,31026179,details,HMDB0000707
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Male,Periodontal Probing Depth,31026179,details,HMDB0000707
Urine,Detected and Quantified,12 umol/mmol creatinine,Newborn (0-30 days old),Female,"Deafness, Onychodystrophy, Osteodystrophy, Mental Retardation, and Seizures Syndrome",17994565,details,HMDB0000707
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Cardiosvacular risk,Mar Garcia-A...,details,HMDB0000707
Urine,Detected and Quantified,0 - 3.4 umol/mmol creatinine,Newborn (0-30 days old),Both,Hawkinsinuria,26226126,details,HMDB0000707
Urine,Detected and Quantified,102.8 -537.4 umol/mmol creatinine,Newborn (0-30 days old),Both,Hawkinsinuria,26226126,details,HMDB0000707
Urine,Detected and Quantified,2.447 +/- 20.710 umol/mmol creatinine,Children (1-13 years old),Both,Phenylketonuria,4837567,details,HMDB0000707
Urine,Detected and Quantified,33.261 +/- 20.0820 umol/mmol creatinine,Children (1-13 years old),Both,Phenylketonuria,4837567,details,HMDB0000707
Urine,Detected and Quantified,24.00 +/- 30.5 umol/mmol creatinine,Newborn (0-30 days old),Both,Phenylketonuria,2091926,details,HMDB0000707
Urine,Detected and Quantified,33.261 +/- 26.985 umol/mmol creatinine,Children (1-13 years old),Both,Phenylketonuria,4837567,details,HMDB0000707
Blood,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25105552,details,HMDB0000725
Blood,Detected and Quantified,5.66 +/- 0.67 uM,Elderly (>65 years old),Both,Alzheimer's disease,17031479,details,HMDB0000725
Blood,Detected and Quantified,43.8 +/- 12.5 uM,Adult (>18 years old),Both,Hemodialysis,10838467,details,HMDB0000725
Blood,Detected and Quantified,27.0 +/- 14.1 uM,Adult (>18 years old),Both,Hemodialysis,10838467,details,HMDB0000725
Blood,Detected and Quantified,339 uM,Infant (0-1 year old),Male,Hydroxyprolinemia,15723447,details,HMDB0000725
Blood,Detected and Quantified,412000 uM,Infant (0-1 year old),Female,Hydroxyprolinemia,15617190,details,HMDB0000725
Blood,Detected and Quantified,5.6 +/- 0.67 uM,Adult (>18 years old),Both,Alzheimer's disease,17031479,details,HMDB0000725
Cerebrospinal Fluid (CSF),Detected and Quantified,0.28 +/- 0.055 uM,Adult (>18 years old),Both,Alzheimer's disease,17031479,details,HMDB0000725
Feces,Detected but not Quantified,Not Quantified,Children (6 - 18 years old),Not Specified,Crohns disease,27609529,details,HMDB0000725
Feces,Detected but not Quantified,Not Quantified,Children (6 - 18 years old),Not Specified,Ulcerative colitis,27609529,details,HMDB0000725
Feces,Detected but not Quantified,Not Quantified,Children (6 - 18 years old),Not Specified,Unclassified IBD,27609529,details,HMDB0000725
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0000725
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0000725
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Male,Attachment loss,31026179,details,HMDB0000725
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Male,Missing teeth,31026179,details,HMDB0000725
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Male,Periodontal Probing Depth,31026179,details,HMDB0000725
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Male,Tooth Decay,31026179,details,HMDB0000725
Urine,Detected and Quantified,30.862 +/- 12.249 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Eosinophilic esophagitis,Analysis of 30 no...,details,HMDB0000725
Urine,Detected and Quantified,0.21  +/- 0.017 umol/mmol creatinine,Adult (>18 years old),Both,Alzheimer's disease,17031479,details,HMDB0000725
Urine,Detected and Quantified,75 (50-100) umol/mmol creatinine,Children (1-13 years old),Both,Iminoglycinuria,MetaGene: Metabol...,details,HMDB0000725
Urine,Detected and Quantified,0 umol/mmol creatinine,Adolescent (13-18 years old),Both,Hyperglycinuria,19033659,details,HMDB0000725
Urine,Detected and Quantified,0 umol/mmol creatinine,Adult (>18 years old),Both,Hyperglycinuria,19033659,details,HMDB0000725
Urine,Detected and Quantified,1957 umol/mmol creatinine,Infant (0-1 year old),Female,Hydroxyprolinemia,15617190,details,HMDB0000725
Urine,Detected and Quantified,2960 umol/mmol creatinine,Infant (0-1 year old),Male,Hydroxyprolinemia,15723447,details,HMDB0000725
Urine,Detected and Quantified,0-250 umol/mmol creatinine,Children (1-13 years old),Both,Iminoglycinuria,19033659,details,HMDB0000725
Urine,Detected and Quantified,40-150 umol/mmol creatinine,Adult (>18 years old),Female,Iminoglycinuria,19033659,details,HMDB0000725
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0000873
Urine,Detected and Quantified,3.6 +/- 1.5 umol/mmol creatinine,Adult (>18 years old),Male,Smoking,6890513,details,HMDB0000873
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Bladder cancer,28157703,details,HMDB0000873
Blood,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal adenoma,27510537,details,HMDB0000017
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,27015276,details,HMDB0000017
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Crohns disease,26848182,details,HMDB0000017
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Iron deficiency,26848182,details,HMDB0000017
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0000017
Feces,Detected but not Quantified,Not Quantified,Children (6 - 18 years old),Both,Crohns disease,27609529,details,HMDB0000017
Feces,Detected but not Quantified,Not Quantified,Children (6 - 18 years old),Both,Ulcerative colitis,27609529,details,HMDB0000017
Feces,Detected but not Quantified,Not Quantified,Children (6 - 18 years old),Not Specified,Crohns disease,27609529,details,HMDB0000017
Feces,Detected but not Quantified,Not Quantified,Children (6 - 18 years old),Not Specified,Ulcerative colitis,27609529,details,HMDB0000017
Feces,Detected but not Quantified,Not Quantified,Children (6 - 18 years old),Not Specified,Unclassified IBD,27609529,details,HMDB0000017
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0000017
Urine,Detected and Quantified,5.701 +/- 3.878 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Eosinophilic esophagitis,Analysis of 30 no...,details,HMDB0000017
Urine,Detected and Quantified,1414.9 +/- 737.8 umol/mmol creatinine,Adult (>18 years old),Both,Critically ill,12001008,details,HMDB0000017
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal adenoma,27510537,details,HMDB0000017
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0001161
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,27015276,details,HMDB0001161
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0001161
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0001173
Blood,Detected and Quantified,6.3 +/- 3.8 uM,Adult (>18 years old),Not Specified,Isovaleric acidemia,27329611,details,HMDB0010378
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0010378
Feces,Detected but not Quantified,Not Quantified,Newborn (0-30 days old),Not Specified,Premature neonates,23210743,details,HMDB0010378
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0032985
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0004400
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal adenoma,27510537,details,HMDB0004400
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Irritable bowel syndrome,21761941,details,HMDB0003355
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Ulcerative colitis,21761941,details,HMDB0003355
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,27015276,details,HMDB0003355
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0003355
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Ulcerative colitis,28842642,details,HMDB0003355
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0003355
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Male,Periodontal Probing Depth,31026179,details,HMDB0003355
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Male,Supragingival Calculus,31026179,details,HMDB0003355
